Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Album_Type,Collection Style,Collection Genre,Collection Recorded,Collection Original Released,Collection Artist_City,Collection Artist_Country,Collection Artist_Region_State,Collection Purchased,Collection Year_Purchased,Collection Shop,Collection Shop_City,Collection Shop_Region_State,Collection Shop_Country,Collection Years active,Collection Group,Collection Group_Members,Collection Instrument(s),Collection Instrument(s)_2,Collection Instrument(s)_3,Collection Instrument(s)_4,Collection Media Condition,Collection Sleeve Condition,Collection Cover Art,Collection Notes,Collection Record Cleaning Date,Collection Record Cleaning Kit
6499 593,Genesis,Live,Charisma,"LP, Album",,1974,799334,2023 Second Hand,2023-05-15 04:31:35,Live,"Prog Rock, Art Rock",Rock,"Free Trade Hall, Manchester, England, UK
De Montfort Hall, Leicester, England, UK
February 1973 during the band's tour supporting their fourth studio album Foxtrot (1972)",1973,"Godalming, Surrey",UK,England,In-Store,2023,Barcelona City Record,Barcelona,Catalonia,Spain,"1967–2000
2006–2007
2020–2022",Yes,"Peter Gabriel
Tony Banks
Steve Hackett
Mike Rutherford
Phil Collins","Lead Vocals, Flute, Tambourine, Bass Drum - Peter Gabriel
Hammond Organ, Mellotron, Hohner Pianet, 12-string Guitar, Backing Vocals - Tony Banks
Lead Guitar - Steve Hackett
Bass Guitar, Dewtron ""Mister Bassman"" Bass Pedal Synthesize - Mike Rutherford","Drums, Percussions, Backing Vocals - Phil Collins","All songs by Tony Banks, Phil Collins, Peter Gabriel, Steve Hackett and Mike Rutherford, except ""The Knife"", by Banks, Gabriel, Anthony Phillips and Rutherford.","Mixed At – Island Studios
Pressed By – Phonodisc GmbH
Lacquer Cut At – Phonodisc GmbH
Co-producer – Genesis, John Burns
Written-By – M. Rutherford*, P. Gabriel*, P. Collins*, S. Hackett*, T. Banks*",Fair (F),Good (G),Photography By [Front Photograph] – Bob Gruen,"With thanks to Alan Cranston, Martyn Day, Brian Grant, Tim Syewart, Jeremy Thom.

This album is dedicated to Richard Macphail who left April, 1973.",,
6369922,Genesis,Foxtrot,"Charisma, Philips",LP,3,1984,26897243,2023 Second Hand,2023-04-27 02:15:18,Studio Album,Prog Rock,Rock,"Island
London, England, UK",1972,Godalming,UK,England,In-Store,2023,Mercat de Sant Antoni,Barcelona,Catalonia,Spain,"1967–2000
2006–2007
2020–2022",Yes,"Tony Banks 
Steve Hackett
Phil Collins
Peter Gabriel","Bass Guitar, Cello, Backing Vocals, 12-String Acoustic Guitar, Bass – Mike Rutherford
Drums, Backing Vocals, Percussion – Phil Collins
Electric Guitar, Acoustic Guitar, 12-String Acoustic Guitar – Steve Hackett","Lead Vocals, Flute, Bass Drum, Tambourine, Oboe – Peter Gabriel
Mellotron, Electric Piano, Backing Vocals, Organ [Hammond], 12-String Acoustic Guitar, Piano – Tony Banks","Producer – David Hitchcock
Technician – Richard Macphail",Composed By – Genesis,Very Good (VG),Very Good Plus (VG+),"Photography – Armando Gallo, Barrie Wentzell, Geoff Terrill, Martin Nunn
Sleeve – Paul Whitehead","Edidado en España por FONOGRAM S.A.
Avda America s/n - Madrid 27
Impreso en España por Graficas FOCO.S.A.
Avda America s/n - Madrid 27 (1984)
White Inner Sleeve on the right under corner 4912 000 1533.2 LFN 33/84",,
63 07 503,Procol Harum,Live - In Concert With The Edmonton Symphony Orchestra,Chrysalis,"LP, Album",4,1972,4584682,2022 Second Hand,2023-04-24 04:23:35,Live,Symphonic Rock,Rock,"18 November 1971
Recorded live at the Jubilee Auditorium
Edmonton, Alberta, Canada",1972,Southend-on-Sea,UK,"Essex, England",In-Store,2022,Daily Records,Barcelona,Catalonia,Spain,"1967–1977
1991–2022",Yes,"Chris Copping
Alan Cartwright
B. J. Wilson
Dave Ball
Gary Brooker
Keith Reid","Chris Copping – organ
Alan Cartwright – bass guitar
B. J. Wilson – drums
Dave Ball – guitar
Gary Brooker – piano and vocals
Keith Reid – lyrics","The Edmonton Symphony Orchestra
Lawrence Leonard, conductor
Da Camera Singers",None,None,Good (G),Good (G),Cover - Bruce Meek,,,
63 07 531,Procol Harum,Exotic Birds And Fruit,Chrysalis,"LP, Album",4,1974,2930530,2023 Second Hand,2023-04-27 04:21:26,Studio Album,"Prog Rock, Symphonic Rock",Rock,"Air Studios
London, England, UK",1974,Southend-on-Sea,UK,"Essex, England",In-Store,2023,Daily Records,Barcelona,Catalonia,Spain,"1967–1977
1991–2022",Yes,"Gary Brooker
Mick Grabham
BJ Cole
Chris Copping
Alan Cartwright
B. J. Wilson","Bass – Alan Cartwright
Drums, Percussion – Barrie Wilson
Guitar – Mick Grabham
Piano, Vocals – Gary Brooker
Organ – Chris Copping
Steel Guitar – B.J. Cole (tracks: A3)
","Engineer – John ""Polly"" Punter
Producer – Chris Thomas",Words By – Keith Reid,"Music By – Mick Grabham
",Very Good (VG),Very Good (VG),Artwork by Jakob Bogdani,"The front cover was painted by Jakob Bogdani (1670-1724) and was reproduced by kind permission of Roy Miles Fine Paintings, London",,
CDL 1403,Spandau Ballet,True = Verdad,Chrysalis,"LP, Album",2,1983,17934448,2022 Second Hand,2023-04-24 09:08:36,Studio Album,"Synth-pop, Ballad, Dance-pop","Electronic, Pop","Red Bus
London, England, UK
Compass Point
Nassau, New Providence, The Bahamas",1983,London,England,UK,In-Store,2022,Daily Records,Barcelona,Catalonia,Spain,"1979–1990
2009–2019",Yes,"ony Hadley
Gary Kemp
Martin Kemp
John Keeble
Steve Norman","Bass – Martin Kemp
Drums – John Keeble
Guitar – Gary Kemp
Saxophone, Percussion – Steve Norman
Vocals – Tony Hadley",keyboards - Jess Bailey,Written-By – Gary Kemp,None,Good Plus (G+),Good Plus (G+),Cover - David Band,"Includes lyrics insert.
[on labels]:
(P) 1983 Chrysalis Records Ltd.",,
CDL 1473,Spandau Ballet,Parade,Chrysalis,"LP, Album, Gat",3,1984,9947965,2022 Second Hand,2023-05-10 00:42:33,Studio Album,"Pop Rock, Synth-pop","Electronic, Rock, Pop","Musicland (Munich, Bavaria, West Germany)
Union (Munich, Bavaria, West Germany)",1984,"Islington, London",UK,England,In-Store,2022,Daily Records,Barcelona,Catalonia,Spain,"1979–1990
2009–2019",Yes,"Tony Hadley
Gary Kemp
Martin Kemp
John Keeble
Steve Norman","Bass – Martin Kemp
Drums – John Keeble
Guitar, Backing Vocals, Artwork By [Design], Written-By – Gary Kemp
Keyboards – Jess Bailey
Lead Vocals – Tony Hadley
Saxophone, Percussion – Steve Norman 

","Keyboards – Jess Bailey, Tony Swain
Engineer [Assistant] – Richard Lengyel
Mastered By – Piero","Producer – Spandau Ballet, Tony Swain, Steve Jolley",Other,Very Good (VG),Very Good (VG),"Design – David Band
Artwork By [Design] - Gary Kemp
Photography [Band] – Eric Watson
Photography [Sleeve] – John Shaw","This record includes an inside orange color sheet with lyrics.
Copyright ℗ 1984 Chrysalis Records Ltd.
D.L.: M.21948-1984
Editado y distribuido por RCA, S.A.",,
CHR 1331,Spandau Ballet,Journeys To Glory = Viajes A La Gloria,Chrysalis,"LP, Album",2,1981,1589372,2022 Second Hand,2023-05-09 06:41:57,Studio Album,"New Wave, Synth-pop",New Wave,"The Manor (Shipton-on-Cherwell, Oxfordshire, England, UK)
Jam (London, England, UK)
Trident Utopia (London, England, UK)",1981,London,UK,England,In-Store,2022,Vinil Vintage,Barcelona,Catalonia,Spain,"1979–1990
2009–2019",Yes,"Tony Hadley 
Gary Kemp
Steve Norman
Martin Kemp
John Keeble","Vocals, Synthesizers -Tony Hadley 
Synthesizers, Guitars - Gary Kemp
Guitars - Steve Norman
Bass - Martin Kemp
Drums - John Keeble","Producer - Richard James Burgess,
Engineer (Jam) - John Etcham,
Engineer (Trident Studios) - Stephen Short,
Engineer (Utopia) - Andy Jackson,
Engineer (The Manor) - Hugh Padgham, Marlis Duncklau,
Design and Photography - Graham Smith,
Hair - Lee Andrews","Record Company – RCA, S.A.
Phonographic Copyright ℗ – Chrysalis Records Ltd.
Manufactured By – Discos CBS, S.A., Madrid
Printed By – Offset ALG, S.A.
Distributed By – RCA, S.A.",Other,Very Good (VG),Very Good Plus (VG+),ArtWork by Graham Smith,"Blitz regular Robert Elms incorporated the title into a poem included on the inner sleeve of the album that spoke of ""angular glimpses of sharp youth cutting strident shapes through the curling gray"". The image on the cover on Myron's Discobolus ",,
SCBQ 3041,"Maria Callas, Vincenzo Bellini",Norma / La Sonnambula,Columbia,"7""",,0,9107141,45,2023-05-10 05:36:27,Single,Opera,Classical,Unknown,1964,New York,USA,NY,In-Store,2021,Unknown,Florence,Tuscany,Italy,1950s to the mid-1960s,Yes,"Orchestra – Orchestra Del ""Teatro Alla Scala""*
Soprano Vocals – Maria Callas
Director - Tullio Sarafin, Antonino Votto
",Other,Other,Other,Other,Fair (F),Fair (F),Grafica Gallati Milano,"Originally sold at Atori Torino Via Nizza, 5 T. 68.31.10",,
"3 C062 - 04096, 3C 062-04096",Pink Floyd,"Soundtrack From The Film ""More""","Columbia, Columbia","LP, Album, Thi",3,0,2654407,Father Collection,2023-04-26 00:40:00,Soundtrack,"Psychedelic Rock, Prog Rock","Rock, Stage & Screen","Pye
London, England, UK",1969,London,UK,England,In-Store,Unknown,Unknown,Unknown,Unknown,Italy,"1965–1994
2005
2007
2013–2014
2022",Yes,"David Gilmour
Nick Mason
Richard Wright
Roger Waters  ","Bass Guitar - Roger Waters
Keyboards, Vocals - Richard Wright 
Guitar, Vocals - David Gilmour
Drums - Nick Mason","Tin Whistle - Lindy Mason
","Written-By – Gilmour (tracks: A7, B1 to B4 to B6), Mason (tracks: A4, A7, B1 to B4, B6), Wright (tracks: A4, A7, B1 to B4, B6), Waters (tracks: A1 to A3, A5 to A7, B1 to B4, B6)","Engineering - Brian Humphries
Producer, Performer – Pink Floyd",Very Good (VG),Very Good (VG),Artwork – Hipgnosis (2),"Front Cover: Photo from the movieBack Cover: Black and white picture from the movie, the credits, and a blue border. 

Directed by Barbet Schroeder
Produced by Jet Films
Starring Mimsi Farmer and Klaus Grunberg",,
"PC2 36183, 36183",Pink Floyd,The Wall,"Columbia, Columbia","2xLP, Album",3,1979,1203086,Father Collection,2023-04-24 06:02:41,Tribute Album,Prog Rock,Rock,"Britannia Row
London, England, UK
Super Bear
Nice, France
Miraval (Correns)
30th Street
New York, New York, USA
Producers Workshop
Los Angeles
Cherokee
Hollywood)",1979,London,UK,England,In-Store,Unknown,Unknown,Unknown,Unknown,Italy,"1965–1994
2005
2007
2013–2014
2022",Yes,"Roger Waters
David Gilmour
Nick Mason
Richard Wright","Roger Waters – vocals, bass guitar, synthesizer, acoustic guitar,  electric guitar
David Gilmour – vocals, electric,and acoustic guitars, bass guitar,ARP Quadra synthesizers","Nick Mason – drums and percussion 
Richard Wright – piano, Hammond organ, Prophet-5, ARP Quadra, Minimoog synthesizers, Fender Rhodes, Wurlitzer electric pianos, clavinet.","Bob Ezrin - piano, Hammond organ and harmonium, Prophet-5
Jeff Porcaro - drums
Lee Ritenour – rhythm guitar, acoustic guitar
Fred Mandel – Hammond organ
Bobbye Hall – congas and bongos
Frank Marocco – concertina
Larry Williams – clarinet","New York Orchestra & Opera
Harry Waters – child's voice on ""Goodbye Blue Sky""
Children of Islington Green School
Backing Vocals – Bruce Johnston, Islington Green School, Jim Haas, Joe Chemay, John Joyce*, Stan Farber, Toni Tennille",Good Plus (G+),Very Good (VG),"Artwork – Gerald Scarfe
Design [Sleeve Design] – Gerald Scarfe, Roger Waters",Released with a gatefold cover and inner sleeves with wall design and hand written lyrics.,,
19075937511,Bruce Springsteen,Western Stars,"Columbia, Sony Music","2xLP, Album",4,2019,13751042,Original Collection,2023-04-26 08:32:54,Studio Album,"Roots Rock, Folk Rock, Country Rock, Orchestral Pop, Country Pop",Rock,"Stone Hill Studio
Colts Neck, New Jersey, USA
Ocean Studio
Burbank, California, USA
Very Loud House Studio
Woodland Hills, California, USA
Avatar Studios
New York, New York, USA
Sage & Sound
Hollywood, California, USA",2019,Long Branch,USA,New Jersey,In-Store,2022,100 Discos,Barcelona,Catalonia,Spain,1964–present,No,None,"Alto Flute – Andrew Sterman
Bassoon – Alden Banta
Drums – Matt Chamberlain, Gunnar Olsen
French Horn – Leelanee Sterrett, Rachel Drehmann
Piano – David Sancious,Matt Rollings
Trumpet, Flugelhorn – Curt Ramm, Leelanee Sterre","Oboe – Charles Pillow
Trombone – Dan Levine,Clark Gayton
Backing Vocals – Cindy Mizelle, Curtis King, Michelle Moore, Soozie Tyrell
Congas, Tambourine – Lenny Castro
Electric Guitar, Baritone Guitar – Rob Lebret
Electric Guitar, Synthesizer [Moog] – Jon ","Accordion – Charlie Giordano
Lap Steel Guitar – Marc Muller
Organ [Farfisa], Synthesizer [Moog] – Jon Brion
Saxophone – Ed Manion
Organ [B3] – David Sancious
Pedal Steel Guitar – Marc Muller,Marty Rifkin
Violin – Luis Villalobos","Timpani – Jon Brion
Celesta – Jon Brion
Vocals, Acoustic Guitar, Glockenspiel, Synth Strings, Banjo, Percussion, Electric Guitar, B3, Piano, Orchestral Samples, Celeste, Organ Solo, 12-String Guitar, Mellotron, Written By - Bruce Springsteen",Near Mint (NM or M-),Near Mint (NM or M-),"Artwork [Art], Design – Michelle Holme
Photography By [Additional] – Danny Clinch
Photography By [Cover] – Kalle Gustafsson*, Trunk Archive","Gatefold sleeve.
Includes printed inner sleeves and Free Digital Download.",,
CRP-5785,Joe Sample - David T. Walker,Swing Street Cafe,"Crusaders Records, MCA Records","LP, Album",4,1981,2931755,2021 Second Hand Rita,2023-05-09 23:48:25,Studio Album,"Boogie Woogie, Chicago Blues, Rhythm & Blues",Blues,"A&M Recording Studios, Santa Monica, California, USA",1981,"Houston
Tulsa","USA
USA","Texas
Oklahoma",In-Store,2022,Discos Revolver,Barcelona,Catalonia,Spain,"1950s–2014
1957–present",Yes,"Joe Sample
David T. Walker","Keyboards, Primary Artist – Joe Sample
Guitar,  Primary Artist  – David T. Walker","Bass, Main Artist – James Jamerson Sr, 
Bass - Steve Rodby
Guitar - Pat Metheny
Drums, Main Artist  – Earl C. Palmer Sr
Drums: Paul Wertico
Percussion: Armando Marçal","Horn, Main Artist  – Albert Aarons*, Ernie Fields Jr.*, Herman Riley, John Kelson, Ernie Fields JR.
Trumpet: Al Aarons, Albert Aarons
Audio Engineer: Rik Pekkonen
Mastering: Kevin Reeves
","Composer - Bill Doggett, Earl Forest, Henry Glover, Erskine Hawkins, B.B. King, Avery Parrish, Clifford Scott, Shep Shepherd, Jules Taub
Audio Production: Wilton Felder, Stix Hooper, Joe Sample
Engineer - Rik Pekkonen
Producer - Wilton Felder, Joe Sample",Good (G),Good (G),"Art Direction: Hollis King, Kathe Schreyer
Design: Isabelle Wong
Logo Design: Margery Melton
Painting [Cover] – Irving Norman","Recorded on November 29th-30th, 1978 at A&M Recording Studios

Prepared for release by Steve Goldman",,
538422572,Gerry Mulligan Quartet With Chet Baker,Soft Shoe,Dreyfus Jazz,"LP, Comp",5,2018,12746684,Original Collection,2023-05-09 02:34:21,Collection,Cool Jazz,Jazz,"Los Angeles, California, USA",2018,"New York
Yale
","USA
USA","NY
Oklahoma",In-Store,2022,100 Disco,Barcelona,Catalonia,USA,"1946–1996
1949–1988",Yes,"Gerry Mulligan
Gerry Mulligan
Bob Whitlock
Chico Hamilton
Carson Smith
Larry Bunker","Baritone Saxophone - Gerry Mulligan
Gerry Mulligan - Trumpet
Bob Whitlock - Bass
Chico Hamilton - Drums
Carson Smith -Double Bass
Larry Bunker - Drums
","Written by - B. Miller, G. Mulligan, W.Donaldosn-G.Kahn, A.Dominguez, A.Johnson-S.Coslow, j.Van Heusen-j.Burke, R.Richard-L.Hart, B.Petkere-J.Young, V.Youmans-G.Kahn, J.Van Heusen-E. Delange, H.Carmichael-N.Washingthon.",-,-,Very Good Plus (VG+),Near Mint (NM or M-),"Art Director - Neel Panchal, Jessie Oliver
Design - Jessie Oliver
Illustrator - Seb Jarnot","Notes from Claude Carriere abd Francis Dreyfus.
All the recording from 1952-1953",,
"MsAI 77445, ms AI 77445",Fausto Papetti,"39a Raccolta - ""Sax' Idea""","Durium, Durium","LP, Album",3,1984,3845290,2021 Second Hand,2023-05-08 06:11:34,Collection,Easy Listening,"Jazz, Pop","Durium Studios, Milano, Italy
Locomotiv Studio, Vallecrosia, Imperia, Liguria, Italy",,Viggiú Sanremo,Italy,Liguria,In-Store,2021,Other,Florence,Toscana,Italy,1955 – 1999,No,Other,"Alto Saxophone [Sax Alto], Soprano Saxophone [Sax Soprano], Clarinet [Clarinetto] – Fausto Papetti","Keyboards [Tastiere] – Giancarlo Sorio, Piero Cairo, Reddy Bobbio
Percussion [Percussioni] – Maurizio Bellocco
Vocals [Vocalist] – Claudia Pisano","Mixed By [Mixage] – Fausto Papetti, Piero Bisleri, Reddy Bobbio, Roberto Musacci, Vince Gurnari
Programmed By [Programming], Coordinator – Piero Cairo, Vince Gurnari",Mastered At – Elettroformati,Fair (F),Fair (F),Photography By [Foto di copertina] – Action Press,"Apparecchiature Elettroniche = Electronic Devices: Aphex, Linn, Roland, Yamaha
Transfert: Elettroformati - Milano",,
23 11 154,Roxy Music,Avalon,EG,"LP, Album",4,1982,2402755,2023 Second Hand,2023-04-27 03:44:56,Studio Album,"Pop Rock, Synth-pop","Electronic, Rock","Compass Point Studios
Nassau, Bahamas
Power Station
New York, USA
",1982,Durham,UK,"County Durham, England",In-Store,2023,Revolver ,Barcelona,Catalonia,Spain,"1970–1976
1978–1983
2001–2011
2022–present",Yes,"Bryan Ferry
Phil Manzanera
Andy Mackay","Vocals (1, 2, 3, 5-9), Keyboards, Guitar Synthesizer (4) - Bryan Ferry 
Lead Guitar (1-7, 9) - Phil Manzanera 
Saxophones (1-6, 9, 10), Oboe (7) - Andy Mackay","Acoustic Piano (8) - Paul Carrack
Guitars (1-9) - Neil Hubbard 
Acoustic Piano (8) - Paul Carrack
Guitars (1-9) - Neil Hubbard 
Bass Guitar (1, 3, 4, 5, 6, 8, 10) - Alan Spenner
Bass Guitar (2, 6, 7, 9) - Neil Jason
Drums (1-7, 9) - Andy Newmark","Drums (8) - Rick Marotta
Percussion (1, 2, 3, 5, 7, 9) - Jimmy Maelen
Cello (8) - Kermit Moore 
Backing Vocals (1, 2, 3, 5, 6, 7, 9) - Fonzi Thornton
Backing Vocals (3) - Yanick Étienne","Written-By – Bryan Ferry
Phil Manzanera
Andy Mackay
Engineer – Bob Clearmountain, Rhett Davies
Mastered By – Robert C. Ludwig*
Mixed By – Bob Clearmountain
Producer – Rhett Davies, Roxy Music
Producer [Assistant] – Barry Bongiovi, Benjamin Arbiter, Ian L",Poor (P),Poor (P),"Printed By – FOCO, S. A.
Designed by Peter Saville","Printed inner sleeve includes lyrics.

Avalon continued the tradition for Roxy Music albums to feature images of women on the cover artwork. Bryan Ferry's girlfriend (and soon to be wife) Lucy Helmore appeared on the album cover wearing a medieval helmet",17 May 2023,Spincare
"R1 60671, 603497847044",The Doors,13,"Elektra, Elektra","LP, Comp, RE, RM, 50t",4,2020,15990814,Original Collection Rita,2023-05-08 05:17:27,Collection,"Blues Rock, Psychedelic Rock",Rock,Other,2020,Los Angeles,USA,California,In-Store,2021,100 Discos,Barcelona,Catalonia,Spain,"1965–1973
1978",Yes,"Jim Morrison
John Densmore
Ray Manzarek
Robby Krieger","Drums - John Densmore 
Guitar - Robby Krieger
Piano, Organ - Ray Manzarek
Vocals - Jim Morrison","Engineer – Bruce Botnick
Lacquer Cut By – BG
Producer – Paul A. Rothchild
Production Manager [Production Supervisor] – Jac Holzman","Phonographic Copyright ℗ – Elektra Records
Copyright © – Elektra Records
Published By – Doors Music Company
Published By – Hoochie Coochie Music","Record Company – Warner Music Group
",Very Good Plus (VG+),Very Good Plus (VG+),"Photography By [Back Cover Photo] – Edmund Teske
Photography By [Front Cover Photo] – William S. Harvey
Photography By [Inner Sleeve] – Jeff Simon (5)
","[Hype sticker:]
Rectangular blue, white text
50th anniversary edition
The doors' first compilation on vinyl for the first time in 37 years.
Newly remastered audio includes iconic hits ""Light My Fire"", ""People Are Strange"" and ""Touch Me"".",,
"R1 6001, 8122796058",The Doors,Weird Scenes Inside The Gold Mine,"Elektra, Rhino Vinyl","2xLP, Comp, RE, RM, 180",4,2020,15923136,Original Collection Rita,2023-05-08 05:43:27,Collection,"Psychedelic Rock, Classic Rock",Rock,Other,1972,Los Angeles,USA,California,In-Store,2021,100 Discos,Barcelona,Catalonia,Spain,"1965–1973
1978",Yes,"Jim Morrison
John Densmore
Ray Manzarek
Robby Krieger","Drums - John Densmore 
Guitar - Robby Krieger
Piano, Organ - Ray Manzarek
Vocals - Jim Morrison",Engineer – Bruce Botnick,"Producer – Paul A. Rothchild (tracks: A1 to A5, A7, B2 to C2, C4, C5, D2 to D4)","Written by - The Doors, Morrison, Krieger, Willie Dixon.",Very Good Plus (VG+),Very Good Plus (VG+),"Art Direction – Robert L. Heimall
Artwork [Cover Art] – Bill Hoffman
Photography By – Joel Brodsky","On gold/black/white sticker :
RHINO VINYL
Reissue of the revered 1972 compilation.",,
3C 064-18277,Pino Daniele,Terra Mia,EMI,"LP, Album",3,1977,2677049,Father Collection,2023-04-24 02:42:48,Studio Album,Blues Rock,"Rock, Blues, Pop","Studio Quattro 1 
Roma, Lazio, Italy",1977,Naples,Italy,Campania,In-Store,Unknown,Unknown,Unknown,Unknown,Italy,1975 – 2015,No,None,"Lyrics By, Music By, Arranged By, Classical Guitar, Acoustic Guitar, Electric Guitar, Mandola, Mandolin, Vocals – Pino Daniele","Drums, Percussion – Rosario Iermano*
Electric Bass, Contrabass [Acoustic] – Rino Zurzolo
Wind – Enzo Avitabile","Performer [Chorus] – Donatella Brighel, Dorina Giangrande",None,Good Plus (G+),Very Good (VG),"Cover – Umberto Telesco
Graphics – Bruno Fedetto","Issued in a black & white and brown print matt cover, not laminated; comes with an illustrated lyric inner sleeve.

Recorded at Quattro Uno studio, Roma (july 1976 - april 1977).
",,
3C 064-18285,Franco Battiato,L'Era Del Cinghiale Bianco,EMI,"LP, Album",4,1979,795991,Father Collection,2023-04-20 23:21:03,Studio Album,Pop Rock,"Rock, Pop","Studio Radius
Milano, Lombardia, Italia",1979,Ionia (Catania),Italy,Sicilia,In-Store,1979,Unknown,Unknown,Unknown,Unknown,1965–2019,No,None,"Bass – Julius Farmer
Conductor, Violin – Giusto Pio
Drums, Percussion – Tullio De Piscopo
Guitar – Alberto Radius
Keyboards [Tastiere] – Antonio Ballista, Roberto Colombo
Lyrics By, Music By – Franco Battiato",None,None,None,Good Plus (G+),Good (G),Cover [Copertina] – Francesco Messina,© ℗ 1979 EMI Italiana S.p.A.,,
3C 064-60 033,Queen,News Of The World,EMI,"LP, Album, RE, Gat",4,1982,8219724,Original Collection,2023-04-26 07:56:12,Studio Album,"Arena, Rock, Hard Rock, Pop Rock",Rock,"Sarm
Wessex Sound
London, England, UK",1977,London,UK,England,In-Store,1986,Unknown,Rome,Lazio,Italy,1970–present,Yes,"Sir Brian May 
Freddie Mercury
Roger Taylor
John Deacon","Acoustic Guitar – John Deacon (tracks: A5, B3)
Acoustic Guitar, Maracas – Brian May (tracks: B3)
Bass Guitar – John Deacon
Cowbell – Freddie Mercury (tracks: B3)
Drums, Backing Vocals – Roger Taylor
Guitar, Backing Vocals – Brian May","Harmony Vocals – Freddie Mercury (tracks: A4)
Lead Vocals – Brian May (tracks: A4, B2), Roger Taylor (tracks: A6)
Piano – Brian May (tracks: A4)
Rhythm Guitar, Bass Guitar – Roger Taylor (tracks: A3, A6)","Vocals, Piano – Freddie Mercury","Producer – Mike Stone, Queen
Written-By – Brian May (tracks: A1, A4, B2, B4), Freddie Mercury (tracks: A2, B1, B5), John Deacon (tracks: A5, B3), Roger Taylor (tracks: A3, A6)",Very Good (VG),Very Good Plus (VG+),"Cover was a painting by American sci-fi artist Frank Kelly Freas. Repainted his illustration for the October 1953 issue of Astounding Science Fiction. The painting inspired the band to contact Freas, who agreed to alter the painting for their album cover","The giant robot from the album cover, also known as ""Frank"", was used as a special effect[48] during the songs ""We Will Rock You"" and ""Killer Queen"" for the 2017–18 Queen + Adam Lambert Tour, which was in celebration of the album's 40th anniversary.",,
3C 064-63923,Queen,The Game,EMI,"LP, Album",3,1980,1237938,Original Collection,2023-04-26 07:45:17,Studio Album,"Pop Rock, Classic Rock",Rock,"Musicland Studios
Munich, Bavaria, West Germany",1980,London,UK,England,In-Store,1988,Unknown,Unknown,Lazio,Italy,1970–present,Yes,"Sir Brian May 
Freddie Mercury
Roger Taylor
John Deacon","Acoustic Guitar – Freddie Mercury (tracks: A5)
Bass Guitar – John Deacon
Drums, Percussion, Synthesizer, Backing Vocals – Roger Taylor","Lead Guitar, Acoustic Guitar, Synthesizer, Backing Vocals – Brian May
Lead Vocals – Brian May (tracks: B3), Roger Taylor (tracks: B1)
Lead Vocals, Backing Vocals, Synthesizer, Piano – Freddie Mercury
Piano – Brian May (tracks: B5)","Rhythm Guitar – Roger Taylor (tracks: B1, B4)
Rhythm Guitar, Piano – John Deacon (tracks: A3)
Semi-Acoustic Guitar – John Deacon (tracks: A4)","Engineer, Co-producer – Mack
Producer – Queen
Written-By – Brian May (tracks: A2, B3, B5), Freddie Mercury (tracks: A1, A5, B2), John Deacon (tracks: A3, A4), Roger Taylor (tracks: B1, B4)",Very Good (VG),Very Good (VG),"The cover art copyright is believed to belong to Queen Productions, Ltd.",The original photo with Roger Taylor having folded arms and Brian May not having a hand resting upon his exposed hip.,,
3C 064-94519,Queen,Queen,EMI,"LP, Album, RE",4,1981,5282336,Original Collection,2023-04-26 03:28:49,Studio Album,"Hard Rock, Heavy Metal, Progressive Rock",Rock,"De Lane Lea
Trident
London, England UK",1973,,,,In-Store,1987,Unknown,Rome,Lazio,Italy,1970–present,Yes,"Brian May
Freddy Mercury
John Deacon
John Taylor","Bass Guitar - John Deacon
Drums, Percussion, Lead vocals, Backing Vocals - John Taylor
Guitars, Piano, Backing Vocals - Brian May
Lead Vocals, Piano, Hammond Organ, Backing Vocals",Backing Vocals - John Anthony,"Production by Roy Thomas Baker, John Anthony","Written by  May, Staffell, Mercury, Taylor
Producer – John Anthony, Queen
Producer, Engineer – Roy Baker*",Very Good (VG),Poor (P),"Cover, Design [Cover] – Brian, Douglas, Freddie
Photography By – Douglas Puddifoot
Printed By – Garrod & Lofthouse Ltd.","80's reissue
On the lateral instead of Queen you can see Quenn",,
"3C 064-97176, 3 C064-97176",Queen,A Night At The Opera,"EMI, EMI","LP, Album, RE, Gat",5,1981,7840437,Original Collection,2023-04-21 02:34:11,Studio Album,"Hard Rock, Pop Rock, Prog Rock",Rock,"Sarm East Studios
Roundhouse Studios
Olympic Studios
Scorpio Studios
Lansdowne Studios
London, England, UK
Rockfield Studios
Monmouth, Wales, UK.
",1975,London,UK,England,In-Store,1988,Unknown,Rome,Lazio,Italy,1970–present,Yes,"Sir Brian May 
Freddie Mercury
Roger Taylor
John Deacon","Freddie Mercury: lead vocals, backing vocals, piano, jangle piano
Brian May: electric guitar, backing vocals, acoustic guitar), lead vocals, koto,  koto, harp, ukulele
Roger Taylor: drums, backing vocals, percussions, lead vocals- John Beacon: bass, elec","A1, A2, A7, B2, B4 - Written by Freddy Mercury
A3 - Written by Roger Taylor
A4 - Written by John Deacon
A5, A6, B1, B3 - Written by Brian May ",None,None,Very Good (VG),Good Plus (G+),"Art Direction – David Costa
","Picture inner sleeve.
Made in Italy by EMI Italiana S.p.a.",,
