Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Album_Type,Collection Style,Collection Genre,Collection Recorded,Collection Original Released,Collection Artist_City,Collection Artist_Country,Collection Artist_Region_State,Collection Purchased,Collection Year_Purchased,Collection Shop,Collection Shop_City,Collection Shop_Region_State,Collection Shop_Country,Collection Years active,Collection Group,Collection Group_Members,Collection Instrument(s),Collection Instrument(s)_2,Collection Instrument(s)_3,Collection Instrument(s)_4,Collection Media Condition,Collection Sleeve Condition,Collection Cover Art,Collection Notes
"MAL 02, mal 02",New Trolls,Concerto Grosso N° 2,"Magma (2), Magma (2)","LP, Album, Gat",5,1976,1453209,Father Collection,2023-04-24 03:41:09,Studio Album,"Classic Rock, Prog Rock, Symphonic Rock",Rock,"Fonit-Cetra Studios
Milano, Lombardia, Italy
Studio G
Genova, Liguria, Italy",1976,Genova,Italy,Liguria,In-Store,Unknown,Unknown,Unknown,Unknown,Italy,"1967 – 1973
1975 – 1998",Yes,"Vittorio De Scalzi
Nico Di Palo
Giorgio D'Adamo
Gianni Belleno
Ricky Belloni","Acoustic Guitar, Piano [Piano Fender], Flute, Keyboards [Sintorchestra, Brassman Crumar], Synthesizer [Arp Synthesizer], Vocals – Vittorio De Scalzi","Drums, Percussion, Vocals – Gianni Belleno
Electric Bass, Vocals – Giorgio D'Adamo
Electric Guitar, Acoustic Guitar, Synthesizer [Arp Synthesizer], Vocals – Nico Di Palo
Electric Guitar, Acoustic Guitar, Vocals – Ricky Belloni","Written-By – Luis Enriquez
Written-By – Belleno*, D'Adamo*, Di Palo*, Belloni*, Bardotti*, De Scalzi*",None,Good Plus (G+),Good Plus (G+),"Cover – G. Greguoli
Photography By – Luca Greguoli","First issue released on a black/silver label.
Laminated gatefold cover."
86.932-I,Premiata Forneria Marconi,Photos Of Ghosts,Manticore,"LP, Album, Gat",5,1973,746125,2023 Second Hand,2023-04-20 01:28:26,Studio Album,Prog Rock,Rock,"Command Studios
London, England, UK
Fonorama Studios
Milano, Lombardia, Italy",1973,Milan,Italy,Lombardia,In-Store,2023,Revolver Records SL,Barcelona,Catalonia,Spain,1970-Present,Yes,"Mauro Pagani
Flavio Premoli
Franco Mussida
Giorgio Piazza
Franz Di Cioccio","Mauro Pagani – flauto, ottavino, violino, voce
Flavio Premoli – pianoforte, organo Hammond, mellotron, moog, voce
Franco Mussida – chitarra elettrica e chitarra acustica, voce
Giorgio Piazza – basso
Franz Di Cioccio – batteria, percussioni","Written-By – Premoli*, Mussida* (tracks: A1 to A3, B1 to B3), Pagani* (tracks: B1), Sinfield* (tracks: A1 to A3, B2 to B3)",None,None,Good Plus (G+),Very Good (VG),"Artwork [Cover Design] – Julia Fryer, Nick Darke
Illustration – Julia Fryer","Engineered at Command Studios, London, February 1973, and at Fonorama C.A.R. Studios, Milan, October 1972."
JS-057,Mel Lewis,Live In Montreux,"MPS Records, CFE","LP, Album",2,1982,5714116,2021 Second Hand,2023-04-24 03:51:42,Live,"Big Band, Jazz-Funk",Jazz,Unknown,1980,Buffalo,USA,New York,In-Store,2021,Revolver SL,Barcelona,Catalonia,Spain,1954–1990,No,None,"Alto Saxophone, Soprano Saxophone, Flute, Clarinet – Dick Oats*, Steve Coleman
Backing Band – The Jazz Orchestra
Baritone Saxophone, Bass Clarinet – Gary Pribek
Bass – John Lockwood
Bass Trombone – Douglas Purviance*, Earl McIntyre
Coordinator [Serie/Pre","Drums – Mel Lewis
French Horn – Stephanie Fauber
Liner Notes – Carlos González (12)
Management [Band Manager], Co-producer – Sherman Darby
Piano – Jim McNeely","Tenor Saxophone, Flute, Clarinet – Joe Lovano, Richard Perry*
Trombone – John Mosca, Lee Robertson
Trumpet, Flugelhorn – Earl Gardner, Joe Mosello, John Marshall (7), Simo Salmimen*",Written-By – Herbie Hancock,Fair (F),Fair (F),"Cover [Adapted] – Silvia Valentí
Cover [Inner Paper Made By] – José R. Rubio*
Photography By – Encore Photographics","Album credited to ""Mel Lewis"" on sleeve, and ""Mel Lewis & The Jazz Orchestra"" on back sleeve and labels."
DZSLN 55155,Premiata Forneria Marconi,Per Un Amico,Numero Uno,"LP, Album, Gat",5,1972,1450195,Father Collection,2023-04-26 02:27:02,Studio Album,"Art Rock, Prog Rock",Rock,"Fonorama C.A.R. Studios
Milano, Lombardia, Italy",1972,Milano,Italy,Lombardia,In-Store,Unknown,Unknown,Unknown,Unknown,Italy,1970 - Presents,Yes,"Franco Mussida
Flavio Premoli
Mauro Pagani
Giorgio Piazza
Franz Di Cioccio","Acoustic Guitar, Twelve-String Guitar, Electric Guitar, Mandocello [Mandoloncello], Lead Vocals – Franco Mussida
Bass, Vocals – Giorgio «Fico» Piazza
Drums, Percussion, Vocals – Franz Di Cioccio","Flute, Flute [Contralto], Piccolo Flute, Violin, Vocals – Mauro Pagani
Piano, Harpsichord, Organ [Hammond And Pari], Spinet, Mellotron, Synthesizer [Moog], Bells, Lead Vocals – Flavio Premoli","Arranged By – Premiata Forneria Marconi
Arranged By [In Collaboration With] – Claudio Fabi
Written-By – F. Premoli, F. Mussida, M. Pagani","Engineer [Sound] – Gaetano Ria
Producer – Premiata Forneria Marconi
Producer [In Collaboration With] – Claudio Fabi
Technician [Amplificazione] – Romano Lombardi",Fair (F),Fair (F),"Cover – Caesar Monti, Giannici, Spinello
Cover [Copertina Di] – Caesar Monti, Giannici, Spinello
Printed By – Campi Grafica","Many of the songs from this album would appear either in their original form or re-recorded with vocals in English on PFM's English-language album Photos of Ghosts.
First Italian pressing with 11/72 date printed on the lower right corner of the back cove"
DZSLN 55666,Premiata Forneria Marconi,L'Isola Di Niente,Numero Uno,"LP, Album, Die",5,1974,409907,Father Collection,2023-04-20 01:34:05,Studio Album,"Symphonic Rock, Prog Rock, Classic Rock",Rock,"Advision Studios
London, England, UK
Fonorama Studios
Milano, Lombardia, Italy",1974,Milan,Italy,Lombardia,In-Store,1974,Unknown,Gallarate,Lombardia,Italia,1970–present,Yes,"Franco Mussida, Flavio Premoli, Mauro Pagani, Giorgio Piazza, Bernardo Lanzetti, Gregory Bloch, Walter Calloni, Roberto Gualdi","Franco Mussida: guitars, lead vocals. Flavio Premoli: keyboards, lead vocals. Mauro Pagani: violin, flute, vocals. Patrick Djivas – bass, vocals. 
Franz Di Cioccio: drums, percussion, vocals.","Lyrics By – Mauro Pagani (tracks: A1, B1 to B3), Pete Sinfield* (tracks: A2)
Music By – F. Premoli*, F. Mussida*, M. Pagani* (tracks: A1, A2, B1, B2)","Chorus – Accademia Paolina Da Milano
Chorus Master – Claudio*",None,Good (G),Fair (F),"Cover – Fabio Nicoli Associates
Illustration – Terry Gough
Photography By – Christine Spengler","Includes an inner sleeve with a ""painted island"" on front and lyrics and credits on the back.
Die-cut sleeve reveals tropic island if record is in, photo of Hiroshima 1945, if record is out.

Track B3 misspelled on label ""Via Lumiere"", correct spelling o"
DZSLN 55676,Premiata Forneria Marconi,Live In U.S.A.,Numero Uno,"LP, Album",5,1974,12992999,Father Collection,2023-04-21 02:41:14,Live,"Jazz-Rock, Classic Rock, Art Rock, Prog Rock, Fusion","Jazz, Rock","22 August 1974
Recorded at Convenction Hall, Toronto University, Canada",1974,Milan,Italy,Lombardia,In-Store,1974,Unknown,Unknown,Unknown,Italy,1970–present,Yes,"Flavio Premoli
Mauro Pagani
Franco Mussida
Patrick Djivas
Franz Di Cioccio","Flavio Premoli - tastiera, voce
Mauro Pagani - flauto, violino, voce
Franco Mussida - chitarra, voce
Patrick Djivas - basso
Franz Di Cioccio - batteria, voce",None,None,None,Very Good (VG),Very Good (VG),"Artwork – Claudio Bonivento
Photography By – Armando Gallo, Carlo Massarini, Chuck Pulin, Lynn Goldsmith, Roberto Masotti","On back cover bottom left: ""Printed in Italy - Grafiche Boccadoro"" - compare to Premiata Forneria Marconi - Live In U.S.A.

Recorded at Convenction Hall, Toronto University, 22 August 1974 and at Schaefer Central Park Music Festival, New York 31 August 1"
19439826361,Mina (3),Cassiopea (Italian Songbook),"PDU, Sony Music","2xLP, Comp, RM, Blu",3,2020,16276066,Original Collection,2023-04-24 03:09:36,Collection,"Chanson, Vocal",Pop,None,2020,Busto Arsizio,Italy,Lombardia,In-Store,2021,100 Discos,Barcelona,Catalonia,Spain,1958 - Presents,No,None,"Bass – Mino Fabiano, Massimo Moriconi, Charl
Drum – Flaviano Cuffari, Alfredo Golino, Ellade Bandini, Dei Lazzaretti
Guitar – Beppe Cantarelli, Sandro Ghibellini, Paolo Gianolio
","Keyboards – Aldo Banfi, Rocco Tanica, Celso Valli, Ugo Bongianni, Danilo Rea
Percussion – George Aghedo, Daniele Di Gregorio
Piano [Fender] – Danilo Rea
Violin [Archi: primo violino] – Gian Maria Berlendis
Viola – Alessio Toro, Fausto Anzelmo, Gualtiero ","Backing Vocals [Coro] – Massimiliano Pani
Saxophone – Daniele Comoglio
Soprano Saxophone – Wally Allifranchini
Synthesizer [Synclavier] – Aldo Banfi","Backing Vocals – Davide Piazza, Filippo Bernardinello, Gabriella Herklotz, Gianni Demarin, Jean Claude Burri*, Margherita Ragneti, Mario Fabrini, Matteo Marini, Moreno Ferrara, Orio Soldini, Regina Paganin, Simonetta Robbiani, Ugo Norsa, Audio2",Near Mint (NM or M-),Near Mint (NM or M-),"Graphics – Giuseppe Spada
Illustration – Gianni Ronco
Photography By – Mauro Balletti","Round sticker on sleeve with text:
Contiene l'inedito ""Un tempo piccolo""
Remastered edition
2 Vinili 180gr. Blu
19439826361

℗ 2020 Sony Music Entertainment Italy S.p.A. © 2020 PDU Music&Production SA - Distributed by Sony Music Entertainment Italy S.p.A"
GL 37160 ,Orchestre Pro Arte De Munich / Kurt Redel,"Il Canone Di Pachelbel, Il Largo Di Handel, L'Aria Di Bach (E Altre Loro Celebri Composizioni)",RCA,"LP, Comp",4,1978,12902788,Father Collection,2023-04-25 23:25:22,Collection,"Classical, Baroque",Classical,"Munich, Baveria, West Germany",1978,Wroclaw,Poland,Lower Silesian Voivodeship,In-Store,Unknown,Unknown,Unknown,Unknown,Italy,1953 - Presents,Yes,"conductor Kurt Redel
Orchestre Pro Arte De Munich",Helmut Rose - Harpsichord,"Composed by - Johann Pachelbel
Composed by - Georg Fredrich Haendel
Composed by - Johann Sebastian Bach
",None,None,Very Good (VG),Very Good (VG),"Johann Georg Plazer: Das Konzert
Germanisches Nationalmuseum, Norimberga",On the back we have the story of the 3 composers and the conductor.
NL 33153,Various,I Supergruppi Vol.1,RCA,"LP, Comp",2,1980,5506737,Father Collection,2023-04-24 02:19:35,Collection,"Pop Rock, Prog Rock","Rock, Pop",None,1980,None,Italy,None,In-Store,1980,Unknown,Unknown,Unknown,Italy,None,No,None,,,,,Fair (F),Fair (F),Printed By – Grafiche Boccadoro,"Side One
1 The Rokes Che Colpa Abbiamo Noi
2 Formula 3 Questo Folle Sentimento
3 I Nuovi Angeli Donna Felicità
4 Middle Of The Road Tweedle Dee Tweedle Dum
5 La Strana Società Fai Tornare Il Sole
6 Homo Sapiens Bella Da Morire
Side Two
1 I Giganti Tema
2"
10 C 176-06581/2,The Shadows,20 Golden Greats = 20 Grandes Exitos,Reflejo,"2xLP, Comp",3,1977,3863468,2021 Second Hand,2023-04-24 04:37:20,Collection,Instruments,"Rock, Pop",Unknown,1977,London,UK,England,In-Store,2021,Vinil Vintage,Barcelona,Catalonia,Spain,"1958–1968 
1969-1970
1973–1990
2004-2005 
2008-2010
2015 (one-off reunion: 2020)",Yes,"Hank Marvin
Bruce Welch
Brian Bennett","Hank Marvin – lead guitar, keyboards, vocals (1958–1968, 1969-1970, 1973–1990, 2004–2005, 2008–2010, 2015, 2020)
Bruce Welch – rhythm guitar, vocals (1958–1968, 1973–1990, 2004–2005, 2008–2010, 2015, 2020)
Brian Bennett – drums, percussion, keyboards (19","Ian Samwell – lead guitar, rhythm guitar, bass (1958; died 2003)[26][27][28][29]
Terry Smart – drums (1958–1959)[27][28][29][30]
Norman Mitham – rhythm guitar (1958)[27][28][29]
Ken Pavey – rhythm guitar (1958)[31]
Jet Harris – bass, vocals (1959–1962; d","Tony Meehan – drums, percussion (1959–1961, 1968; died 2005)
Brian Locking – bass, harmonica (1962–1963, 1968; died 2020)
John Rostill – bass, vocals (1963–1968, 1969-1970; died 1973)
Alan Hawkshaw – keyboards (1967, 1969–1970, 1979, 1983; died 2021)","John Farrar – rhythm and lead guitar, keyboards, vocals (1973–1975)
Alan Tarney – bass (1973–1977)
Cliff Hall – keyboards (1977–1990; 2004–2005)
Alan Jones – bass (1977–1985, 1987–1989)
George Ford – bass (1978–1980; died 2007)
Mark Griffiths – bass (198",Good (G),Good (G),Jellerey Edwards,"Warren Bennett – keyboards, percussion, harmonica, guitar (2005, 2008–2010, 2015)

Released in a gatefold sleeve

[on front cover:]
Número 1 en Inglaterra"
SMRL 6209,Edoardo Bennato,Burattino Senza Fili,Ricordi,"LP, Album, Gat",4,1977,839987,Father Collection,2023-04-24 02:28:38,Conceptual,"Rock & Roll, Pop Rock",Rock,"Ricordi
Milano, Lombardia, Italia",1977,Naples,Italy,Campania,In-Store,Unknown,Unknown,Unknown,Unknown,Italy,1966 – presents,No,None,"Vocals [Voce], Harmonica [Armonica], Guitar [Chitarra] – Edoardo Bennato","Alto Saxophone [Sax Contralto], Tenor Saxophone [Sax Tenore] – Robert Fix*
Bass [Basso] – Luigi De Rienzo*
Dobro [Chitarra Dobro] – Roberto Ciotti
Guitar [Chitarra] – Tony Di Mauro (2)
Musician [Altri Musicisti] – Alberto Ravasini, Andrea Sacchi, Maurizi",Piano – Ernesto VitoloPercussion [Percussioni] – Tony Esposito,"Arranged By [Strings And Horns - Scrittura Archi E Fiati], Directed By [Strings And Horns - Direzione Archi E Fiati] – Antonio Sinagra
Music By [Musiche Di], Words By [Testi Di] – Edoardo Bennato",Good Plus (G+),Good Plus (G+),Photography By [Foto] – Giuseppe Pino,"Released in a gatefold sleeve with a 6-page booklet attached inside (stapled and glued).
Plain inner sleeve."
LL-209 982,Mike Oldfield,Earth Moving,Virgin,"LP, Album",3,1989,1211536,2021 Second Hand,2023-04-24 05:05:47,Studio Album,"Synth-pop, Ambient","Pop, rock","Roughwood Studio
Buckinghamshire, England, UK",1989,Reading,UK,"Berkshire, England",In-Store,2021,Daily Records,Barcelona,Catalonia,Spain,1967–2018,No,None,Mike Oldfield – guitars and keyboards,"Backing Vocals – Phil Spalding, Mike Oldfield, Nikkie ""B"" Bentley, Paul Lee
Lead Vocals – Adrian Belew, Max Bacon, Maggie Reilly, Carol Kenyon
Vocals – Mark Williamson,  Anita Hegerland, Chris Thompson","Harp, Tambourine – Daniel Lazerus
Saxophone – Raf Ravenscroft*",Written-By – Mike Oldfield,Good Plus (G+),Good (G),"Sleeve by Storm Thorgrson, Roger Dean, Colin Chambers
Photography by Tony May, Andy Earl
Graphics by Nexus","Oldfield used PRS guitars.
Synthesizers on the album include a Fairlight Series III and various instruments made by Roland and Korg (including an M1). The album was recorded an Atari 1040ST with C-Lab Notator software"
"87.541-I , 87541-I ",Mike Oldfield,Tubular Bells ,"Virgin, Virgin","LP, Album, RE",5,1983,6168450,2021 Second Hand,2023-04-21 02:47:38,Studio Album,Prog Rock,Rock,"The Manor
Shipton-on-Cherwell, Oxfordshire, England, UK",1974,Reading,UK,England,In-Store,2021,Daily Records,Barcelona,Catalonia,Spain,1967–2018,No,None,"Kevin Ayers – bass guitar
David Bedford – grand piano, accordion, organ, choir master, string arrangements
Steve Broughton – drums
Jon Field – flute
Fred Frith – electric guitar, bass guitar
John Greaves – Davoli electric piano, Farfisa organ, tin whistl","Steve Hillage – electric guitar
Simon Ingram Hill – cello, organ
Geoff Leigh (misspelt on the programme as ""Jeff Leig"") – flute
Ashley Mason – viola
Pierre Moerlen – cymbals, glockenspiel, gongs, tam-tam, tubular bells, timpani
Tom Newman – nasal chorus
","Mike Oldfield – acoustic and electric guitars, bass, Lowrey organ, mandolin, prehistoric poem
Terry Oldfield – flute
Ted Speight – electric guitar
Vivian Stanshall – master of ceremonies
Mick Taylor – electric guitar
Janet Townley – violin
Vulpy – viola","Girlie Chorus: Sarah Greaves, Kathy Williams, Sally Oldfield, Maureen Rossini, Lynette Asquith, Amanda Parsons, Maggie Thomas, Mundy Ellis, Julie Clive, Liz Gluck, Debbie Scott, Hanna Corker.",Good Plus (G+),Fair (F),"Design [Sleeve], Photography By – Trevor Key","Made in Spain
T.G. Hostench, S.A. (1983)"
"I - 204.500, I·204 500",Mike Oldfield,Five Miles Out,"Virgin, Virgin","LP, Album, Gat",3,1982,1777229,2023 Second Hand,2023-04-23 23:55:30,Studio Album,"Pop Rock, Prog Rock",Rock,"Tilehouse 
Denham, Buckinghamshire, England, UK
The Manor
Shipton-on-Cherwell, Oxfordshire, England, UK",1982,Reading,UK,England,In-Store,2023,Discs Oldies,Valencia,Valencian Community,Spain,1967–2018,No,None,"Drums – Graham Broad. Guitar – Rick Fenn, Guitar. Bass, Keyboards, Vocals – Mike Oldfield. Keyboards – Tim Cross. Percussion – Carl Palmer, Mike Frye. Percussion, Keyboards – Morris Pert. Uilleann Pipes – Paddy Moloney. Vocals – Maggie Reilly.",None,None,None,Very Good (VG),Good (G),"Design [Sleeve Design] – Mike Oldfield
Painting – Gerald Coulson
Photography By – Fin Costello",℗ 1982 Virgin Records Ltd.
"V 2640, 210 707",Mike Oldfield,Amarok,"Virgin, Virgin","LP, Album",4,1990,552362,2022 Second Hand,2023-04-24 05:46:57,Studio Album,Prog Rock,"Instrumental rock, Progrock, Experimental rock, World","Roughwood Croft, 

Chalfont St Giles and CTS Studios, London (choir)",1990,Reading,UK,"Berkshire, England",In-Store,2022,Daily Record,Barcelona,Catalonia,Spain,1967–2018,No,None,"Bowed Guitar, Acoustic Guitar, Electric Guitar, 12-String Guitar, Classical Guitar, Bass guitar, Sitar Guitar, Glorfindel Guitar, Highly Strung Guitar, Flamenco Guitar, Bazouki, Mandolin, Ukulele, Steinway Piano, Banjo, Farfisa Organ, Lowrey Organ","Shoes, Hoover, Glockenspiel, Marimba, Bodhran, Northumbrian Bagpipes, Clay drums, Triangle, Tambourine, Wonga Box, Bell Tree, Sticks, Finger Cymbals, Toy dog, Melodica, Chairs, Psaltry, Spinet, Flamenco Guitar, Jew's Harp, Penny Whistles, Bass Whistles, ","Punch Ball and Club, Spoons, Referee's Whistle, Fingernails, Pan Pipes, Glass of Water, Guitar Tuner, Violin, Door, Face Slap, Toothbrush and teeth, Vox Organ, Fake Radio, Contents of Aeromodeller's toolbox, Glass, Hammer and Bucket, Fake Firework","Rototom, Cabasa, Bongos, Orchestral Bass Drum, Timpani, not much synth at all really, Kalimba, long thin metallic hanging tubes.
Janet Brown – voice of ""Margaret Thatcher""
Jabula – African choir and percussion
Paddy Moloney – tin whistle
Clodagh Simonds ",Good Plus (G+),Good (G),"Cover, Liner Notes – William Murray","In a parody of listening instructions on the sleeve of Tubular Bells, the album's back cover reads: ""HEALTH WARNING – This record could be hazardous to the health of cloth-eared nincompoops. If you suffer from this condition, consult your Doctor immediat"
